model,group,layer,feature,attention_method,spearman,p,n
physics-ckpt1,experts,3,TFC,raw,0.22767006337367912,1.9423821130421873e-21,1701
physics-ckpt1,experts,3,pca,raw,0.22730096414206047,2.5173190801016313e-21,1697
physics-ckpt1,experts,4,FPRT,raw,0.39196590713590296,1.980628707803688e-63,1697
physics-ckpt1,experts,4,TFT,raw,0.29051331583106266,1.953264795301946e-34,1701
physics-ckpt1,experts,4,FFD,raw,0.5224001076368164,1.8565148522919074e-119,1697
physics-ckpt1,experts,4,SFD,raw,0.5086528536328128,1.0906357369953584e-111,1687
physics-ckpt1,experts,4,RPD_inc,raw,0.3148736692903825,2.273563945078836e-40,1697
physics-ckpt1,experts,4,TFC,raw,0.3056908708168083,4.023597798219036e-38,1701
physics-ckpt1,experts,4,pca,raw,0.3076812958223929,1.5543062247530485e-38,1697
physics-ckpt1,experts,5,FPRT,raw,0.2314189169279916,4.56486478423972e-22,1697
physics-ckpt1,experts,5,TFT,raw,0.1053632649245051,1.3340331615192454e-05,1701
physics-ckpt1,experts,5,FFD,raw,0.4384085218468555,1.2117950186076595e-80,1697
physics-ckpt1,experts,5,SFD,raw,0.41774694798463424,3.126402257569201e-72,1687
physics-ckpt1,experts,5,RPD_inc,raw,0.15497785552317234,1.3774063220237055e-10,1697
physics-ckpt1,experts,5,TFC,raw,0.124400344027878,2.648284117427129e-07,1701
physics-ckpt1,experts,5,pca,raw,0.1316758329950341,5.207852639579817e-08,1697
physics-ckpt1,experts,6,FPRT,raw,0.42686667472979833,4.144366639662268e-76,1697
physics-ckpt1,experts,6,TFT,raw,0.3418859782580571,7.80237304884379e-48,1701
physics-ckpt1,experts,6,FFD,raw,0.5523131765504026,3.98334789408006e-136,1697
physics-ckpt1,experts,6,SFD,raw,0.5358251548674917,5.38407866994822e-126,1687
physics-ckpt1,experts,6,RPD_inc,raw,0.32286124756754386,1.814646611657545e-42,1697
physics-ckpt1,experts,6,TFC,raw,0.3619585104199071,8.27590211888314e-54,1701
physics-ckpt1,experts,6,pca,raw,0.3421064768097091,8.66082521513678e-48,1697
physics-ckpt1,experts,7,FPRT,raw,0.4260429997042034,8.596918474357443e-76,1697
physics-ckpt1,experts,7,TFT,raw,0.37367878435839247,1.6801478719863403e-57,1701
physics-ckpt1,experts,7,FFD,raw,0.4800707596770881,1.5215343557838957e-98,1697
physics-ckpt1,experts,7,SFD,raw,0.4623329669022222,4.282614326442605e-90,1687
physics-ckpt1,experts,7,RPD_inc,raw,0.3547421824013507,1.7103413904317802e-51,1697
physics-ckpt1,experts,7,TFC,raw,0.38914344073323476,1.3010427268973441e-62,1701
physics-ckpt1,experts,7,pca,raw,0.35739261914259224,2.7183228884061606e-52,1697
physics-ckpt1,experts,8,FPRT,raw,0.4461263215033428,8.95738303308411e-84,1697
physics-ckpt1,experts,8,TFT,raw,0.40227746343486187,3.571263367742125e-67,1701
physics-ckpt1,experts,8,FFD,raw,0.5013914245858088,1.0383520962200255e-108,1697
physics-ckpt1,experts,8,SFD,raw,0.48993471042772535,1.4646560226156096e-102,1687
physics-ckpt1,experts,8,RPD_inc,raw,0.35516313710049435,1.2785717765450403e-51,1697
physics-ckpt1,experts,8,TFC,raw,0.4234201201961228,5.827023017068917e-75,1701
physics-ckpt1,experts,8,pca,raw,0.37675095399210073,2.3193588598823804e-58,1697
physics-ckpt1,experts,9,FPRT,raw,0.415526201550345,8.012777985136051e-72,1697
physics-ckpt1,experts,9,TFT,raw,0.38396394956883806,7.193312079562281e-61,1701
physics-ckpt1,experts,9,FFD,raw,0.4509842743021065,8.697226958406526e-86,1697
physics-ckpt1,experts,9,SFD,raw,0.430356278476822,5.142521534137495e-77,1687
physics-ckpt1,experts,9,RPD_inc,raw,0.3196593583549717,1.2806528484074588e-41,1697
physics-ckpt1,experts,9,TFC,raw,0.3994307189720832,3.623144930487587e-66,1701
physics-ckpt1,experts,9,pca,raw,0.3622697882274847,8.798936064982976e-54,1697
physics-ckpt1,experts,10,FPRT,raw,0.47179686267043613,8.660572455349575e-95,1697
physics-ckpt1,experts,10,TFT,raw,0.4479936314636361,9.711142123046613e-85,1701
physics-ckpt1,experts,10,FFD,raw,0.4991463610950281,1.3214365644202584e-107,1697
physics-ckpt1,experts,10,SFD,raw,0.47767285058141756,6.997323312719928e-97,1687
physics-ckpt1,experts,10,RPD_inc,raw,0.3907103176296942,5.312530015666695e-63,1697
physics-ckpt1,experts,10,TFC,raw,0.4600357200715081,7.832726316307209e-90,1701
physics-ckpt1,experts,10,pca,raw,0.4174907918630443,1.489250461336448e-72,1697
physics-ckpt1,experts,11,FPRT,raw,0.6076862794585048,7.297445251430099e-172,1697
physics-ckpt1,experts,11,TFT,raw,0.5989701872125262,3.7143484109133104e-166,1701
physics-ckpt1,experts,11,FFD,raw,0.5652312961634779,7.30646501884351e-144,1697
physics-ckpt1,experts,11,SFD,raw,0.5497536398591469,7.514722562681005e-134,1687
physics-ckpt1,experts,11,RPD_inc,raw,0.47545129290013666,1.957176679088176e-96,1697
physics-ckpt1,experts,11,TFC,raw,0.6062544426887856,3.0107764829733457e-171,1701
physics-ckpt1,experts,11,pca,raw,0.563104801172563,1.4481144150216892e-142,1697
physics-ckpt1,novices,0,FPRT,raw,0.613372907314988,3.796069575775881e-176,1699
physics-ckpt1,novices,0,TFT,raw,0.5634687982343566,4.047094847480873e-143,1701
physics-ckpt1,novices,0,FFD,raw,0.6599156558157323,5.773891296491071e-213,1699
physics-ckpt1,novices,0,SFD,raw,0.64737010114254,2.4719568715460352e-199,1673
physics-ckpt1,novices,0,RPD_inc,raw,0.46529210024750767,5.152468960091747e-92,1699
physics-ckpt1,novices,0,TFC,raw,0.5937244388190731,1.432027591704222e-162,1701
physics-ckpt1,novices,0,pca,raw,0.5449076761380048,5.386926930640263e-132,1699
physics-ckpt1,novices,1,FPRT,raw,0.4363442199912429,6.53639799410637e-80,1699
physics-ckpt1,novices,1,TFT,raw,0.27295267012232055,1.9190577358258784e-30,1701
physics-ckpt1,novices,1,FFD,raw,0.6845442726222487,2.9575512582612676e-235,1699
physics-ckpt1,novices,1,SFD,raw,0.6650924895645044,3.5782653791032386e-214,1673
physics-ckpt1,novices,1,RPD_inc,raw,0.28386497785815296,7.462907938451702e-33,1699
physics-ckpt1,novices,1,TFC,raw,0.3073924661406665,1.5046563479902192e-38,1701
physics-ckpt1,novices,1,pca,raw,0.31615735912244464,9.502958307995961e-41,1699
physics-ckpt1,novices,2,FPRT,raw,0.3541166585452776,2.3016977629755262e-51,1699
physics-ckpt1,novices,2,TFT,raw,0.20511640370122894,1.2916206933203459e-17,1701
physics-ckpt1,novices,2,FFD,raw,0.5444476111677073,9.869391192211798e-132,1699
physics-ckpt1,novices,2,SFD,raw,0.5228298104902661,5.106274170583016e-118,1673
physics-ckpt1,novices,2,RPD_inc,raw,0.2377560032929246,2.9129937519528714e-23,1699
physics-ckpt1,novices,2,TFC,raw,0.2322915407548397,2.8297550493149134e-22,1701
physics-ckpt1,novices,2,pca,raw,0.2504672255764667,1.0238852662345092e-25,1699
physics-ckpt1,novices,3,FPRT,raw,0.29174368528860617,1.0941077593084332e-34,1699
physics-ckpt1,novices,3,TFT,raw,0.16064040413571531,2.6688844785794345e-11,1701
physics-ckpt1,novices,3,FFD,raw,0.49581740344161757,4.1802340516310315e-106,1699
physics-ckpt1,novices,3,SFD,raw,0.47394842490956035,1.9947163348186797e-94,1673
