text_id,word_index_in_text,surprisal,index,epoch,domain,model,condition
b1,111,2.1797149963412714,0.0,0.0,physics,german-gpt2,dapt
b1,112,2.516265954005542,0.0,0.0,physics,german-gpt2,dapt
b1,113,9.200487768077933,0.0,0.0,physics,german-gpt2,dapt
b1,114,5.809161187783605,0.0,0.0,physics,german-gpt2,dapt
b1,115,10.528955371916835,0.0,0.0,physics,german-gpt2,dapt
b1,116,15.453984106552618,0.0,0.0,physics,german-gpt2,dapt
b1,117,9.581220896766208,0.0,0.0,physics,german-gpt2,dapt
b1,118,9.335569133441012,0.0,0.0,physics,german-gpt2,dapt
b1,119,58.851784481712805,0.0,0.0,physics,german-gpt2,dapt
b1,120,4.0422640595102735,0.0,0.0,physics,german-gpt2,dapt
b1,121,9.003520165628379,0.0,0.0,physics,german-gpt2,dapt
b1,122,19.855308299063413,0.0,0.0,physics,german-gpt2,dapt
b1,123,10.067216350880367,0.0,0.0,physics,german-gpt2,dapt
b1,124,0.5672071237041098,0.0,0.0,physics,german-gpt2,dapt
b1,125,14.33675307574873,0.0,0.0,physics,german-gpt2,dapt
b1,126,7.442425388579423,0.0,0.0,physics,german-gpt2,dapt
b1,127,5.0596367177523645,0.0,0.0,physics,german-gpt2,dapt
b1,128,11.054085822200129,0.0,0.0,physics,german-gpt2,dapt
b1,129,28.034354138146103,0.0,0.0,physics,german-gpt2,dapt
b1,130,5.763516304314012,0.0,0.0,physics,german-gpt2,dapt
b1,131,11.361447712377313,0.0,0.0,physics,german-gpt2,dapt
b1,132,7.321509890202609,0.0,0.0,physics,german-gpt2,dapt
b1,133,0.27834026929854355,0.0,0.0,physics,german-gpt2,dapt
b1,134,5.669462776175461,0.0,0.0,physics,german-gpt2,dapt
b1,135,3.613867314996577,0.0,0.0,physics,german-gpt2,dapt
b1,136,9.165918567323905,0.0,0.0,physics,german-gpt2,dapt
b1,137,8.528713233659353,0.0,0.0,physics,german-gpt2,dapt
b1,138,5.096780154824507,0.0,0.0,physics,german-gpt2,dapt
b1,139,5.3983286874372265,0.0,0.0,physics,german-gpt2,dapt
b1,140,4.34912823189586,0.0,0.0,physics,german-gpt2,dapt
b1,141,2.4888701496190015,0.0,0.0,physics,german-gpt2,dapt
b1,142,4.783568790726177,0.0,0.0,physics,german-gpt2,dapt
b1,143,1.4810631664179,0.0,0.0,physics,german-gpt2,dapt
b1,144,5.607032042016357,0.0,0.0,physics,german-gpt2,dapt
b1,145,2.368031699469775,0.0,0.0,physics,german-gpt2,dapt
b1,146,3.0980768985163416,0.0,0.0,physics,german-gpt2,dapt
b1,147,7.114601690533185,0.0,0.0,physics,german-gpt2,dapt
b1,148,3.7263398410772335,0.0,0.0,physics,german-gpt2,dapt
b1,149,0.8587839780824238,0.0,0.0,physics,german-gpt2,dapt
b1,150,10.657752491217389,0.0,0.0,physics,german-gpt2,dapt
b1,151,21.919359459254615,0.0,0.0,physics,german-gpt2,dapt
b1,152,4.11909662085263,0.0,0.0,physics,german-gpt2,dapt
